V1,V2,eez
168.12,-3.88,KI
167.8,-3.72,KI
NA,NA,NA
207.18,-13.83,KI
205.03,-12.57,KI
204.93,-12.32,KI
204.87,-12.03,KI
204.68,-11.72,KI
204.52,-11.37,KI
205.07,-8.5,KI
200.72,-5.87,KI
200.85,-4.82,KI
201.23,-3.87,KI
201.75,-3.2,KI
203,-1.53,KI
201.77,0.17,KI
200.48,1.72,KI
198.2,2.03,KI
197.6,2,KI
197.25,2.3,KI
196.92,2.68,KI
200.62,7.88,KI
201.55,7.43,KI
202.1,6.95,KI
202.97,6.37,KI
203.62,5.58,KI
203.88,5.08,KI
204.85,4.5,KI
205.8,3.47,KI
205.95,2.83,KI
205.13,2.1,KI
206.1,1.12,KI
205.75,0.15,KI
205.13,-0.67,KI
206.2,-0.85,KI
207.08,-1.33,KI
207.8,-2.08,KI
208.23,-3,KI
208.38,-4.02,KI
208.22,-5.08,KI
207.92,-5.77,KI
207.4,-6.45,KI
207.33,-6.6,KI
207.28,-6.77,KI
207.85,-6.75,KI
208.6,-6.85,KI
209.18,-6.6,KI
210.22,-6.57,KI
211.2,-6.87,KI
212.05,-7.42,KI
212.7,-8.22,KI
213.07,-9.17,KI
213.15,-10.22,KI
212.93,-11.2,KI
211.97,-12,KI
210.58,-12.42,KI
208.95,-13.83,KI
207.18,-13.83,KI
NA,NA,NA
184.27,-7.78,KI
183.37,-7.25,KI
182.72,-6.52,KI
182.28,-5.6,KI
182.15,-4.57,KI
182.32,-3.58,KI
182.62,-2.95,KI
186.28,-0.72,KI
186.83,0.23,KI
187.85,0.52,KI
188.9,0.48,KI
190.13,0.02,KI
191.02,-0.53,KI
191.87,-1.6,KI
192.4,-2.48,KI
192.62,-3.5,KI
192.53,-4.57,KI
192.12,-5.52,KI
191.75,-6,KI
191.48,-6.4,KI
191.07,-6.88,KI
189.38,-6.88,KI
188.33,-6.58,KI
186.78,-6.45,KI
184.27,-7.78,KI
NA,NA,NA
141,-10.37,PG
142,-9.77,PG
142.05,-9.75,PG
142.85,-9.67,PG
143,-9.67,PG
143.08,-9.55,PG
143.33,-9.55,PG
143.5,-9.4,PG
143.8,-9.37,PG
144.25,-9.5,PG
144.73,-9.85,PG
146.5,-12.33,PG
147.13,-12.63,PG
148.08,-13.17,PG
152.12,-14.63,PG
154.25,-14.75,PG
156.62,-14.08,PG
156.73,-14.1,PG
157.2,-13.6,PG
158,-11.45,PG
157.7,-10.9,PG
155,-8.65,PG
154.9,-7.43,PG
155.43,-7.37,PG
155.55,-6.95,PG
155.88,-6.8,PG
156.05,-6.67,PG
156.05,-6.58,PG
156.32,-6.33,PG
156.47,-5.85,PG
156.87,-5.68,PG
157.5,-5.75,PG
158.15,-4.55,PG
162.75,-4.65,PG
162.75,-4,PG
162.4,-3,PG
162,-2.3,PG
161.4,-1.65,PG
160.65,-1.2,PG
159.95,-0.95,PG
158.95,-1,PG
158,-1.2,PG
157.5,-1.5,PG
157.25,-1.1,PG
154,-0.97,PG
152.75,0.33,PG
151.65,1.75,PG
151,1.8,PG
150,2,PG
149.15,2,PG
148.3,1.8,PG
147.7,1.6,PG
147.1,2,PG
146.45,2.3,PG
145.6,2.6,PG
144.7,2.6,PG
143.8,2.25,PG
143,1.9,PG
142.3,1.8,PG
141.5,1.5,PG
141,1.3,PG
141,-6.2,PG
140.8,-6.7,PG
141,-7.1,PG
141,-10.37,PG
